"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 1.87940178809001199e-02, 9.84738516504669696e-03,-3.14732485358988345e-02,-1.94792286734609514e-02,-2.04651503823531557e-03,-8.02961162025583181e-03, 2.91790227672085838e-02, 2.11503139548593205e-04,-4.95763977041428685e-03, 9.45109294824485538e-04
 1.11000000000000000e+03, 2.25833568875794324e-03, 9.57591766203517297e-03, 2.40223538909691385e-02,-1.98012998315764271e-02, 3.66059945746661543e-03, 1.33690640175004836e-02, 5.56636712817133988e-03, 1.21096311556107734e-02,-2.40700705960676629e-02, 2.70285531358578808e-03
 1.12000000000000000e+03, 9.56679160166633985e-03, 4.45703460158158957e-03,-7.61928310843440135e-03, 1.80633988744885758e-03, 6.18396097008760449e-03,-1.27167978130204723e-02,-2.38598741186904113e-02, 2.29947405522240300e-02,-9.19445781749922246e-03, 7.02551022952673659e-04
 1.13000000000000000e+03, 1.80634150730644462e-02, 1.38615739747477793e-02, 1.97673943913862643e-02, 1.35716375789001129e-02,-4.16037304026242467e-03,-1.94258932453928966e-02, 1.17706402598795508e-02, 6.06286467956548229e-04,-1.11585948480550506e-02,-8.97038116428723175e-04
 1.14000000000000000e+03,-5.18063928564935910e-05,-3.66734408717887296e-04, 3.61074612030516792e-03, 6.93637659889896445e-03, 2.69763051548518960e-03,-4.68196315175691512e-03,-5.48257983949603563e-04,-1.66711871246214074e-02, 1.93375453821702271e-02,-1.46565312030543264e-03
 1.15000000000000000e+03,-7.60171127538421254e-04, 1.23005315314615084e-02,-8.99232560610972731e-03, 1.22147521491139388e-02, 1.16158616801481703e-02, 8.01993780806145064e-03, 1.72009676217994428e-02, 4.48991607496941701e-03,-2.86913863352424156e-03,-3.12776715760102603e-02
 1.16000000000000000e+03, 1.17666720952294794e-02, 3.87445164231644840e-03,-5.13359546937208408e-03, 1.39424727499431987e-02, 4.48457261165452134e-03, 1.13701399855066325e-02, 5.16621351671384642e-03,-1.35669085208135701e-02, 9.97432390427618019e-03, 4.18475748322877372e-03
 1.17000000000000000e+03, 2.61396792836825209e-02, 2.95401534594172191e-02, 6.69732617515478345e-04, 4.26188142073560990e-03,-7.74903546835555446e-03, 1.97832210909630775e-02, 1.67017877894975221e-02,-4.78774089892481693e-03, 2.07243120617207170e-02, 1.10077999427137183e-02
 1.18000000000000000e+03, 1.62586175359176119e-02, 1.69072471997596327e-02, 8.46973658358852674e-03, 3.96095916337525847e-02, 2.67165869473245353e-02,-7.60061802444556445e-03,-3.59956064990028281e-03, 1.38175313482105113e-03, 1.84941384880656415e-03, 6.88241974155353979e-03
 1.19000000000000000e+03, 7.22034171146245657e-03,-9.63932754538164918e-03, 7.69457421116911608e-03, 1.14467435377464261e-02,-6.40921590547942604e-04, 1.42015588758834140e-02,-4.37867436010776039e-03,-1.17249124365462684e-02,-2.30210692998682534e-03, 7.43849135346819762e-03
 1.20000000000000000e+03, 1.98486445640737759e-02, 1.48637328987281190e-02,-7.89087458129702091e-04, 2.84069438019331419e-02,-1.04617146253461503e-03, 9.38522681802802031e-03,-2.29023360793735690e-02, 1.86445871943284637e-02, 1.04599469563234522e-02,-1.19747645684041386e-02
 1.21000000000000000e+03, 1.68850485549755028e-02, 1.43702713542338996e-02,-9.03050045464846331e-03, 2.25888004201997006e-02,-5.73059122547784662e-03,-6.13866279716150393e-03,-1.16072459165236404e-02,-1.52987771306017616e-02, 3.25734474444657742e-03, 2.59177272548121243e-03
