"engine.time","0.ikr.IKr","1.ikr.IKr","2.ikr.IKr","3.ikr.IKr","4.ikr.IKr","5.ikr.IKr","6.ikr.IKr","7.ikr.IKr","8.ikr.IKr","9.ikr.IKr"
 1.10000000000000000e+03, 6.77751178657332032e-01, 6.67891058125508530e-01, 6.76298035265468278e-01, 6.77797460295271326e-01, 6.79021709354182823e-01, 6.71971951415923474e-01, 6.82193526985285459e-01, 6.82409932141606945e-01, 6.73541849538963899e-01, 6.80670752164510895e-01
 1.11000000000000000e+03, 6.97121642695085586e-01, 6.91335903728767520e-01, 7.17260906898051442e-01, 7.07509619906477205e-01, 7.02230425044215623e-01, 7.08428836399121686e-01, 7.03385528919345471e-01, 7.03538710945719958e-01, 7.15362443905547707e-01, 7.15608169428313845e-01
 1.12000000000000000e+03, 7.35925306534346402e-01, 7.21324993255879177e-01, 7.35488798059226956e-01, 7.46994182186325628e-01, 7.33441826614269932e-01, 7.40845082845862701e-01, 7.10763604434965446e-01, 7.27662726378593194e-01, 7.34117788566982954e-01, 7.24328903961927506e-01
 1.13000000000000000e+03, 7.40370770091832275e-01, 7.49340900367695961e-01, 7.50487968380967985e-01, 7.41818024025088896e-01, 7.62492260619563766e-01, 7.53579607375074345e-01, 7.43014270359067752e-01, 7.58063153738043227e-01, 7.55565416377371735e-01, 7.55475916258633751e-01
 1.14000000000000000e+03, 7.71377320763959262e-01, 7.57088109720306601e-01, 7.66934019003860046e-01, 7.63881084652905162e-01, 7.64905312873124466e-01, 7.70310574877232757e-01, 7.63505412832866992e-01, 7.58465331277032750e-01, 7.62074649541243154e-01, 7.70395213763251707e-01
 1.15000000000000000e+03, 7.88800064561065883e-01, 7.68601635202394884e-01, 7.77018368448680108e-01, 7.70883404887299117e-01, 7.78642446229946272e-01, 7.71541964265450742e-01, 7.79888079372070275e-01, 7.78935078366707723e-01, 7.80055498882830767e-01, 7.76061908698128633e-01
 1.16000000000000000e+03, 7.95646448715618071e-01, 7.95349995716624902e-01, 7.87185003273564665e-01, 7.77685955254485584e-01, 7.85918149880964978e-01, 7.87910442878171247e-01, 7.84553275935974459e-01, 7.91200275216839000e-01, 7.80304652396255904e-01, 7.90408997405645852e-01
 1.17000000000000000e+03, 7.95873631327809417e-01, 7.93986202979860556e-01, 7.98374322740293851e-01, 7.91162396789018785e-01, 7.89210135368814791e-01, 7.88923735868128584e-01, 8.03985900776279849e-01, 7.91175897247945681e-01, 7.95213005699483722e-01, 8.07035159663703316e-01
 1.18000000000000000e+03, 8.15547897953863510e-01, 7.98891125584322292e-01, 7.97422817083827451e-01, 8.01884063354900034e-01, 8.03880300600835596e-01, 7.93915065603342573e-01, 8.00045569175985349e-01, 8.00568376488941302e-01, 8.06671069577525768e-01, 8.18830878528834405e-01
 1.19000000000000000e+03, 8.18322354586947576e-01, 8.05315412378914131e-01, 8.14128536770309497e-01, 8.00851769374082645e-01, 7.97637622060405560e-01, 8.08573316134408859e-01, 8.10897179764935916e-01, 8.03051421335802318e-01, 8.25328843100548326e-01, 8.00767388802341773e-01
 1.20000000000000000e+03, 8.06453486587417667e-01, 8.12524224654963323e-01, 8.31091639724868325e-01, 8.20550167032691458e-01, 8.06976422300555885e-01, 8.11788078168608429e-01, 8.20280836037979411e-01, 8.13435920581894067e-01, 8.09398901332351595e-01, 8.08871556438149453e-01
