"engine.time","ikr.IKr","membrane.V"
 0.00000000000000000e+00, 2.31273513443311061e-02,-8.00000000000000000e+01
 1.00000000000000000e+01, 1.89045805174042764e-02,-8.00000000000000000e+01
 2.00000000000000000e+01, 1.54622682335719564e-02,-8.00000000000000000e+01
 3.00000000000000000e+01, 1.26560192733078357e-02,-8.00000000000000000e+01
 4.00000000000000000e+01, 1.03682098298896342e-02,-8.00000000000000000e+01
 5.00000000000000000e+01, 1.38835491469216227e-01, 4.00000000000000000e+01
 6.00000000000000000e+01, 2.88338814375202424e-01, 4.00000000000000000e+01
 7.00000000000000000e+01, 3.64499997892162697e-01, 4.00000000000000000e+01
 8.00000000000000000e+01, 4.08185716771368945e-01, 4.00000000000000000e+01
 9.00000000000000000e+01, 4.35691078770991114e-01, 4.00000000000000000e+01
 1.00000000000000000e+02, 4.53075392428349766e-01, 4.00000000000000000e+01
 1.10000000000000000e+02, 4.64064412593397313e-01, 4.00000000000000000e+01
 1.20000000000000000e+02, 4.71010937007120600e-01, 4.00000000000000000e+01
 1.30000000000000000e+02, 4.75402051712035645e-01, 4.00000000000000000e+01
 1.40000000000000000e+02, 4.78177814613407137e-01, 4.00000000000000000e+01
 1.50000000000000000e+02, 4.79932462531186099e-01, 4.00000000000000000e+01
 1.60000000000000000e+02, 4.81041609671798043e-01, 4.00000000000000000e+01
 1.70000000000000000e+02, 4.81742720210590614e-01, 4.00000000000000000e+01
 1.80000000000000000e+02, 4.82185939211567216e-01, 4.00000000000000000e+01
 1.90000000000000000e+02, 4.82466114294123449e-01, 4.00000000000000000e+01
 2.00000000000000000e+02, 4.82643227483828652e-01, 4.00000000000000000e+01
 2.10000000000000000e+02, 4.82755188142430458e-01, 4.00000000000000000e+01
 2.20000000000000000e+02, 4.82825957075932177e-01, 4.00000000000000000e+01
 2.30000000000000000e+02, 4.82870669886581727e-01, 4.00000000000000000e+01
 2.40000000000000000e+02, 4.82898948907761139e-01, 4.00000000000000000e+01
 2.50000000000000000e+02, 4.82916837467335991e-01, 4.00000000000000000e+01
 2.60000000000000000e+02, 4.82928143389185160e-01, 4.00000000000000000e+01
 2.70000000000000000e+02, 4.82935293162205570e-01, 4.00000000000000000e+01
 2.80000000000000000e+02, 4.82939813424951292e-01, 4.00000000000000000e+01
 2.90000000000000000e+02, 4.82942662586451910e-01, 4.00000000000000000e+01
 3.00000000000000000e+02, 4.82944457459595355e-01, 4.00000000000000000e+01
 3.10000000000000000e+02, 4.82945596780395003e-01, 4.00000000000000000e+01
 3.20000000000000000e+02, 4.82946325774300966e-01, 4.00000000000000000e+01
 3.30000000000000000e+02, 4.82946790103977008e-01, 4.00000000000000000e+01
 3.40000000000000000e+02, 4.82947075132614478e-01, 4.00000000000000000e+01
 3.50000000000000000e+02, 4.82947241036278396e-01, 4.00000000000000000e+01
 3.60000000000000000e+02, 4.82947319219623639e-01, 4.00000000000000000e+01
 3.70000000000000000e+02, 4.82947353587954931e-01, 4.00000000000000000e+01
 3.80000000000000000e+02, 4.82947408617554641e-01, 4.00000000000000000e+01
